model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,model_encoded,transmission_encoded,fuelType_encoded
 6 Series,-0.21856942177121053,27000,Automatic,0.1120169471536381,Petrol,0.0,-0.9209171350100247,-0.27186395379305184,5,0,2
 1 Series,-0.932718708948922,12750,Automatic,0.8867013810098718,Diesel,0.0,2.1303774517201455,-1.3250189753023558,0,0,0
 2 Series,-0.21856942177121053,16250,Manual,-0.17735374271451035,Petrol,0.0,0.05838349248783377,-1.3250189753023558,1,1,2
 X3,-0.932718708948922,15500,Manual,4.040031191906995,Diesel,0.0,0.05838349248783377,-0.27186395379305184,13,1,0
 X3,-0.932718708948922,22000,Automatic,0.38857320972532083,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,0,0
 3 Series,0.4955798654065009,17800,Automatic,0.6012534750079884,Diesel,0.0,1.2850863837746254,-0.27186395379305184,2,0,0
 1 Series,-0.932718708948922,20500,Automatic,0.7136412327764808,Petrol,0.0,-1.2301699647461906,1.8344460892255559,0,0,2
 1 Series,-0.932718708948922,11900,Manual,0.6411351109816826,Petrol,0.0,0.16146776906655572,-1.3250189753023558,0,1,2
 X1,-0.932718708948922,18900,Automatic,1.3337679823018735,Diesel,0.0,0.8624408498018653,-0.27186395379305184,11,0,0
 1 Series,-0.21856942177121053,14600,Automatic,-0.4309617196685428,Petrol,0.0,-1.498189083850867,-1.3250189753023558,0,0,2
 3 Series,-1.6468679961266333,15800,Manual,-0.12308856589784445,Petrol,0.0,-0.3951873244585426,-0.27186395379305184,2,1,2
 1 Series,-0.21856942177121053,17500,Automatic,0.060366959581148884,Petrol,0.0,0.2645520456452776,-1.3250189753023558,0,0,2
 1 Series,-0.932718708948922,11200,Manual,1.7839074309557827,Diesel,0.0,1.7695824836946188,-0.27186395379305184,0,1,0
 1 Series,-0.932718708948922,12700,Manual,0.5684982297246757,Petrol,0.0,0.16146776906655572,-1.3250189753023558,0,1,2
 1 Series,-0.932718708948922,14500,Automatic,0.923902448008285,Diesel,0.0,1.7695824836946188,-0.27186395379305184,0,0,0
 X1,-0.932718708948922,14100,Automatic,2.7896438345350254,Diesel,0.0,1.4397127986427083,-0.27186395379305184,11,0,0
 1 Series,-1.6468679961266333,12500,Manual,0.719002370727043,Petrol,0.0,-0.4776547457215199,-1.1143879710004947,0,1,2
 3 Series,-0.932718708948922,13600,Manual,0.6308704931982893,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,2,1,2
 1 Series,-0.21856942177121053,11700,Manual,1.121872273792459,Diesel,0.0,0.16146776906655572,-1.3250189753023558,0,1,0
 2 Series,-0.932718708948922,10900,Manual,3.197547976895481,Diesel,0.0,1.4397127986427083,-0.27186395379305184,1,1,0
 1 Series,-0.932718708948922,11100,Manual,1.1605770746062736,Diesel,0.0,2.1303774517201455,-1.3250189753023558,0,1,0
 3 Series,-0.21856942177121053,19490,Automatic,1.1499855581673581,Diesel,0.0,0.6047301583550605,-0.27186395379305184,2,0,0
 X1,-0.932718708948922,17800,Automatic,1.1849637143082212,Diesel,0.0,0.37794474988187193,-0.27186395379305184,11,0,0
 X3,-1.6468679961266333,15900,Automatic,3.0452785831532947,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,0,0
 X1,-0.932718708948922,16700,Automatic,1.4090854325341617,Diesel,0.0,1.4397127986427083,-0.27186395379305184,11,0,0
 X1,-0.932718708948922,14700,Manual,1.6535402471335758,Diesel,0.0,1.7695824836946188,-0.27186395379305184,11,1,0
 3 Series,-0.21856942177121053,19000,Automatic,0.4947498930388936,Diesel,0.0,1.2850863837746254,-0.27186395379305184,2,0,0
 3 Series,-0.932718708948922,15400,Automatic,0.48481217391102227,Diesel,0.0,1.4397127986427083,-0.27186395379305184,2,0,0
 X3,-1.6468679961266333,19000,Automatic,1.933757774647106,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,0,0
 1 Series,-0.21856942177121053,15000,Automatic,-0.19977899048332529,Petrol,0.0,-1.498189083850867,-1.3250189753023558,0,0,2
 3 Series,-1.6468679961266333,17950,Automatic,1.779853887627309,Diesel,0.0,0.16146776906655572,1.8344460892255559,2,0,0
 5 Series,-0.21856942177121053,22600,Automatic,0.6591145370353972,Diesel,0.0,1.4397127986427083,-0.27186395379305184,4,0,0
 1 Series,-0.932718708948922,13200,Manual,0.2617365313827524,Petrol,0.0,0.16146776906655572,-1.3250189753023558,0,1,2
 X4,-1.6468679961266333,21400,Automatic,1.174895235718141,Diesel,0.0,0.2645520456452776,-0.27186395379305184,14,0,0
 1 Series,-0.932718708948922,14600,Automatic,-0.49026113578024877,Petrol,0.0,0.7387397179073987,-1.3250189753023558,0,0,2
 X1,-0.932718708948922,14800,Manual,1.2032700390174578,Diesel,0.0,0.8624408498018653,-0.27186395379305184,11,1,0
 1 Series,-0.932718708948922,15000,Automatic,0.8459044288007158,Diesel,0.0,1.7695824836946188,-0.27186395379305184,0,0,0
 3 Series,-0.932718708948922,17100,Automatic,1.2039238363285019,Diesel,0.0,1.2850863837746254,-0.27186395379305184,2,0,0
 4 Series,-0.21856942177121053,16900,Automatic,0.9165799181245904,Petrol,0.0,-0.7147485818525808,-0.27186395379305184,3,0,2
 4 Series,-0.932718708948922,16000,Manual,0.21217869520560453,Petrol,0.0,-0.5601221669844979,-0.27186395379305184,3,1,2
 4 Series,-0.932718708948922,16600,Automatic,2.2097909993699534,Diesel,0.0,1.4397127986427083,-0.27186395379305184,3,0,0
 4 Series,-0.932718708948922,16750,Manual,0.7694101434085483,Petrol,0.0,-0.5601221669844979,-0.27186395379305184,3,1,2
 3 Series,-0.21856942177121053,15700,Automatic,1.0644034901516766,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,2,0,2
 X1,1.2097291525842124,31498,Semi-Auto,-0.7553759454086586,Diesel,0.0,0.8624408498018653,-0.27186395379305184,11,2,0
 4 Series,-1.6468679961266333,17995,Semi-Auto,0.6121065103713217,Petrol,0.0,-0.31271990319556464,-0.27186395379305184,3,2,2
 3 Series,-0.932718708948922,16998,Semi-Auto,-0.32805402291019087,Petrol,0.0,-0.03439235643301584,-0.27186395379305184,2,2,2
 5 Series,0.4955798654065009,25998,Semi-Auto,-0.13067261470595679,Diesel,0.0,1.4397127986427083,-0.27186395379305184,4,2,0
 X3,-3.075166570482056,17495,Semi-Auto,2.6780406335397857,Diesel,0.0,0.2645520456452776,-0.27186395379305184,13,2,0
 1 Series,0.4955798654065009,19998,Semi-Auto,-0.5427610598570954,Petrol,0.0,-0.3951873244585426,-0.27186395379305184,0,2,2
 3 Series,0.4955798654065009,27998,Semi-Auto,-0.5795044687377776,Diesel,0.0,-0.31271990319556464,-0.27186395379305184,2,2,0
 5 Series,-0.21856942177121053,27798,Semi-Auto,0.1698126294499425,Diesel,0.0,0.8624408498018653,1.8344460892255559,4,2,0
